Eads,Bader-charge,Ave-O2p-up,Ave-O2p-down,Ave-diff-EN,Ave-diff-IE,BLVE Neighbor 1,BLVE Neighbor 2,BLVE Neighbor 3,BLVE Neighbor 4,BLVE Neighbor 5,Freq Ni,Freq Mg,Freq Cu,Freq Zn
-0.961798655,-1.258491,-1.792395533814335,-1.8131268849735585,1.758000,5.240800,1.048,0.172916666666667,0.195909090909091,0.196363636363636,0.180083333333333,0,1,2,2
-0.582561665,-1.209285,-1.8425303125164996,-1.8703441031297892,1.708000,5.574400,0.197818181818182,0.19,0.185181818181818,0.17425,1.06,0,1,3,1
-1.090019985,-1.162369,-2.2280319687972616,-1.968769591739516,1.656000,5.925200,0.185727272727273,1.0545,0.199090909090909,0.2067,0.190090909090909,1,1,3,0
-0.485180625,-1.163843,-2.038651650984552,-1.850091156609951,1.636000,5.259200,0.2114,0.194090909090909,0.178833333333333,0.172083333333333,0.2135,2,0,1,2
-1.184143545,-1.206255,-1.9140474419202005,-1.9657427855006786,1.756000,5.258000,0.182416666666667,0.177166666666667,0.1998,0.193727272727273,1.0625,1,1,1,2
-0.899953965,-1.123787,-2.3246419853316334,-2.204371894543834,1.656000,5.925200,0.191909090909091,0.192,1.047,0.208636363636364,0.188636363636364,1,1,3,0
-0.898261475,-1.258493,-1.78787663526986,-1.803873617365149,1.758000,5.240800,1.048,0.172916666666667,0.195909090909091,0.196363636363636,0.180083333333333,0,1,2,2
-0.547552055,-1.209291,-1.8461936684871654,-1.8551942213079375,1.708000,5.574400,0.197818181818182,0.19,0.185181818181818,0.17425,1.06,0,1,3,1
-0.383892825,-1.159291,-2.1926354797287266,-2.1044529621453054,1.704000,5.608800,0.177083333333333,0.207272727272727,0.2055,0.1933,1.06,2,1,1,1
-0.492590765,-1.130023,-2.4078717687801316,-2.4380742158515067,1.702000,5.626000,0.1957,0.212,0.19,1.066,0.2054,3,1,0,1
-0.282873245,-1.348492,-2.295805473771893,-2.1528463486746987,1.822000,5.624800,1.0425,1.051,0.177416666666667,0.2091,0.2124,2,2,0,1
-0.372075705,-1.258936,-2.10805848707618,-2.1509537462638204,1.754000,5.275200,0.2078,0.17575,0.177666666666667,1.0455,0.2128,2,1,0,2
-0.572551535,-1.326514,-2.1703522836673184,-2.1176605194543536,1.824000,5.607600,1.0475,0.174416666666667,1.0465,0.192545454545454,0.2139,1,2,1,1
0.126294505,-1.525892,-2.063365223441665,-2.1135419148555705,2.012000,5.956000,0.191727272727273,1.059,1.0455,1.0595,1.0625,0,4,1,0
-0.025525575,-1.370323,-1.904723157645996,-1.9933125605463247,1.808000,4.907200,1.049,1.0515,0.194090909090909,0.17675,0.180166666666667,0,2,1,2
-0.314116785,-1.240225,-2.024954496227569,-2.1622546045875164,1.758000,5.240800,0.176666666666667,0.193181818181818,1.045,0.17425,0.191272727272727,0,1,2,2
-0.033105665,-1.323419,-2.210707847942689,-2.0511521627758436,1.822000,5.624800,0.1775,1.046,0.2081,1.0475,0.2121,2,2,0,1
0.145050675,-1.43895,-2.073010723060968,-1.9770938462456378,1.824000,5.607600,1.057,0.2114,1.0615,1.058,0.177166666666667,1,3,0,1
0.030122855,-1.32651,-2.1693729663593975,-2.1618063896388855,1.756000,5.258000,1.0475,0.174416666666667,1.0465,0.192545454545454,0.2139,1,2,1,1
0.132341185,-1.52589,-2.078503078550892,-2.1654189276195974,2.012000,5.956000,0.191727272727273,1.059,1.0455,1.0595,1.0625,0,4,1,0
0.029377295,-1.348492,-2.3065449686895736,-2.1565097960563335,1.822000,5.624800,1.0425,1.051,0.177416666666667,0.2091,0.2124,2,2,0,1
-0.369720095,-1.258935,-2.1197047436049297,-2.1643035082442172,1.686000,4.925600,0.2078,0.17575,0.177666666666667,1.0455,0.2128,2,1,0,2
0.216977025,-1.323419,-2.2031346338493507,-2.0451263100867276,1.822000,5.624800,0.1775,1.046,0.2081,1.0475,0.2121,2,2,0,1
0.145568015,-1.438951,-2.0720109989292355,-1.9779109566234019,1.824000,5.607600,1.057,0.2114,1.0615,1.058,0.177166666666667,1,3,0,1
-0.024828425,-1.370329,-1.9001306632103745,-1.9483686349093825,1.808000,4.907200,1.049,1.0515,0.194090909090909,0.17675,0.180166666666667,0,2,1,2
-0.656674415,-1.240227,-2.0235541592483237,-2.1192542099045033,1.758000,5.240800,0.176666666666667,0.193181818181818,1.045,0.17425,0.191272727272727,0,1,2,2
-0.489023565,-1.400799,-2.243335713722623,-2.0404725145992075,1.774000,5.941200,0.189363636363636,0.19,1.0465,1.0485,1.0635,0,3,2,0
-0.394755585,-1.584789,-1.9012531728800586,-1.8521087841490098,2.062000,5.622400,1.0665,1.06,1.0685,1.063,0.182583333333333,0,4,0,1
-0.597458075,-1.445212,-2.1871656950111915,-2.025180916288737,1.942000,5.623600,1.0675,1.06,1.0545,0.17575,0.2139,1,3,0,1
-1.028434345,-1.2006,-2.408773741676289,-2.119368806021169,1.706000,5.591600,0.1745,1.0415,0.189818181818182,0.192,0.2102,1,1,2,1
-1.020216395,-1.377625,-1.9901813017277523,-1.8798914959092583,1.876000,5.256800,0.195,1.047,0.175166666666667,1.0445,0.1805,0,2,1,2
-0.807947605,-1.352463,-2.26102635521252,-2.011661543142836,1.824000,5.607600,1.0665,0.1745,0.192636363636364,1.0495,0.2117,1,2,1,1
-0.866991815,-1.438554,-2.1189017730043127,-1.914094176359557,1.894000,5.940000,1.0405,0.194363636363636,1.0395,1.0505,0.197181818181818,0,3,2,0
-1.040052665,-1.428668,-2.1991313136022725,-1.9583164385428098,1.892000,5.957200,1.041,1.063,1.0505,0.192636363636364,0.2125,1,3,1,0
-0.576572625,-1.445212,-2.19121375802392,-2.018337939088066,1.942000,5.623600,1.0675,1.06,1.0545,0.17575,0.2139,1,3,0,1
-0.989753865,-1.2006,-2.409979722235381,-2.111341930245494,1.706000,5.591600,0.1745,1.0415,0.189818181818182,0.192,0.2102,1,1,2,1
-0.407594865,-1.400799,-2.2471883552467626,-2.039933067034974,1.894000,5.940000,0.189363636363636,0.19,1.0465,1.0485,1.0635,0,3,2,0
-0.346185965,-1.584789,-1.8982306049677968,-1.8481128293834963,2.062000,5.622400,1.0665,1.06,1.0685,1.063,0.182583333333333,0,4,0,1
-0.683834375,-1.438554,-2.1230093287775165,-1.9222585055805819,1.894000,5.940000,1.0405,0.194363636363636,1.0395,1.0505,0.197181818181818,0,3,2,0
-0.532474785,-1.428668,-2.202110744155268,-1.9598939959515262,1.892000,5.957200,1.041,1.063,1.0505,0.192636363636364,0.2125,1,3,1,0
